bay,pH,EC
201,6.3,2.9
201,6.3,2.9
201,6.3,2.9
201,6.3,2.9
201,6.3,2.9
201,6.3,2.9
201,6.3,2.9
201,6.3,2.9
201,6.3,2.9
201,6.3,2.9
201,6.3,2.9
201,6.3,2.9
201,6.3,2.9
201,6.3,2.9
201,6.3,2.9
201,6.3,2.9
201,6.3,2.9
201,6.3,2.9
202,5.8,2.5
202,5.8,2.5
202,5.8,2.5
202,5.8,2.5
202,5.8,2.5
202,5.8,2.5
202,5.8,2.5
202,5.8,2.5
202,5.8,2.5
202,5.8,2.5
202,5.8,2.5
202,5.8,2.5
202,5.8,2.5
202,5.8,2.5
202,5.8,2.5
202,5.8,2.5
202,5.8,2.5
202,5.8,2.5
203,6.2,2.6
203,6.2,2.6
203,6.2,2.6
203,6.2,2.6
203,6.2,2.6
203,6.2,2.6
203,6.2,2.6
203,6.2,2.6
203,6.2,2.6
203,6.2,2.6
203,6.2,2.6
203,6.2,2.6
203,6.2,2.6
203,6.2,2.6
203,6.2,2.6
203,6.2,2.6
203,6.2,2.6
203,6.2,2.6
204,5.5,2.3
204,5.5,2.3
204,5.5,2.3
204,5.5,2.3
204,5.5,2.3
204,5.5,2.3
204,5.5,2.3
204,5.5,2.3
204,5.5,2.3
204,5.5,2.3
204,5.5,2.3
204,5.5,2.3
204,5.5,2.3
204,5.5,2.3
204,5.5,2.3
204,5.5,2.3
204,5.5,2.3
204,5.5,2.3
205,6.4,2.5
205,6.4,2.5
205,6.4,2.5
205,6.4,2.5
205,6.4,2.5
205,6.4,2.5
205,6.4,2.5
205,6.4,2.5
205,6.4,2.5
205,6.4,2.5
205,6.4,2.5
205,6.4,2.5
205,6.4,2.5
205,6.4,2.5
205,6.4,2.5
205,6.4,2.5
205,6.4,2.5
205,6.4,2.5
206,6.7,2.2
206,6.7,2.2
206,6.7,2.2
206,6.7,2.2
206,6.7,2.2
206,6.7,2.2
206,6.7,2.2
206,6.7,2.2
206,6.7,2.2
206,6.7,2.2
206,6.7,2.2
206,6.7,2.2
206,6.7,2.2
206,6.7,2.2
206,6.7,2.2
206,6.7,2.2
206,6.7,2.2
206,6.7,2.2
207,6.6,2.3
207,6.6,2.3
207,6.6,2.3
207,6.6,2.3
207,6.6,2.3
207,6.6,2.3
207,6.6,2.3
207,6.6,2.3
207,6.6,2.3
207,6.6,2.3
207,6.6,2.3
207,6.6,2.3
207,6.6,2.3
207,6.6,2.3
207,6.6,2.3
207,6.6,2.3
207,6.6,2.3
207,6.6,2.3
208,6.3,2.4
208,6.3,2.4
208,6.3,2.4
208,6.3,2.4
208,6.3,2.4
208,6.3,2.4
208,6.3,2.4
208,6.3,2.4
208,6.3,2.4
208,6.3,2.4
208,6.3,2.4
208,6.3,2.4
208,6.3,2.4
208,6.3,2.4
208,6.3,2.4
208,6.3,2.4
208,6.3,2.4
208,6.3,2.4
209,6.7,2.2
209,6.7,2.2
209,6.7,2.2
209,6.7,2.2
209,6.7,2.2
209,6.7,2.2
209,6.7,2.2
209,6.7,2.2
209,6.7,2.2
209,6.7,2.2
209,6.7,2.2
209,6.7,2.2
209,6.7,2.2
209,6.7,2.2
209,6.7,2.2
209,6.7,2.2
209,6.7,2.2
209,6.7,2.2
210,6.7,2.5
210,6.7,2.5
210,6.7,2.5
210,6.7,2.5
210,6.7,2.5
210,6.7,2.5
210,6.7,2.5
210,6.7,2.5
210,6.7,2.5
210,6.7,2.5
210,6.7,2.5
210,6.7,2.5
210,6.7,2.5
210,6.7,2.5
210,6.7,2.5
210,6.7,2.5
210,6.7,2.5
210,6.7,2.5
201,6.7,2.8
201,6.7,2.8
201,6.7,2.8
201,6.7,2.8
201,6.7,2.8
201,6.7,2.8
201,6.7,2.8
201,6.7,2.8
201,6.7,2.8
201,6.7,2.8
201,6.7,2.8
201,6.7,2.8
201,6.7,2.8
201,6.7,2.8
201,6.7,2.8
201,6.7,2.8
201,6.7,2.8
201,6.7,2.8
202,6.8,2.5
202,6.8,2.5
202,6.8,2.5
202,6.8,2.5
202,6.8,2.5
202,6.8,2.5
202,6.8,2.5
202,6.8,2.5
202,6.8,2.5
202,6.8,2.5
202,6.8,2.5
202,6.8,2.5
202,6.8,2.5
202,6.8,2.5
202,6.8,2.5
202,6.8,2.5
202,6.8,2.5
202,6.8,2.5
203,6.8,2.7
203,6.8,2.7
203,6.8,2.7
203,6.8,2.7
203,6.8,2.7
203,6.8,2.7
203,6.8,2.7
203,6.8,2.7
203,6.8,2.7
203,6.8,2.7
203,6.8,2.7
203,6.8,2.7
203,6.8,2.7
203,6.8,2.7
203,6.8,2.7
203,6.8,2.7
203,6.8,2.7
203,6.8,2.7
204,6.9,2.5
204,6.9,2.5
204,6.9,2.5
204,6.9,2.5
204,6.9,2.5
204,6.9,2.5
204,6.9,2.5
204,6.9,2.5
204,6.9,2.5
204,6.9,2.5
204,6.9,2.5
204,6.9,2.5
204,6.9,2.5
204,6.9,2.5
204,6.9,2.5
204,6.9,2.5
204,6.9,2.5
204,6.9,2.5
205,6.9,2.5
205,6.9,2.5
205,6.9,2.5
205,6.9,2.5
205,6.9,2.5
205,6.9,2.5
205,6.9,2.5
205,6.9,2.5
205,6.9,2.5
205,6.9,2.5
205,6.9,2.5
205,6.9,2.5
205,6.9,2.5
205,6.9,2.5
205,6.9,2.5
205,6.9,2.5
205,6.9,2.5
205,6.9,2.5
206,7,2.3
206,7,2.3
206,7,2.3
206,7,2.3
206,7,2.3
206,7,2.3
206,7,2.3
206,7,2.3
206,7,2.3
206,7,2.3
206,7,2.3
206,7,2.3
206,7,2.3
206,7,2.3
206,7,2.3
206,7,2.3
206,7,2.3
206,7,2.3
207,7,2.4
207,7,2.4
207,7,2.4
207,7,2.4
207,7,2.4
207,7,2.4
207,7,2.4
207,7,2.4
207,7,2.4
207,7,2.4
207,7,2.4
207,7,2.4
207,7,2.4
207,7,2.4
207,7,2.4
207,7,2.4
207,7,2.4
207,7,2.4
208,6.9,2.4
208,6.9,2.4
208,6.9,2.4
208,6.9,2.4
208,6.9,2.4
208,6.9,2.4
208,6.9,2.4
208,6.9,2.4
208,6.9,2.4
208,6.9,2.4
208,6.9,2.4
208,6.9,2.4
208,6.9,2.4
208,6.9,2.4
208,6.9,2.4
208,6.9,2.4
208,6.9,2.4
208,6.9,2.4
209,7.3,1.9
209,7.3,1.9
209,7.3,1.9
209,7.3,1.9
209,7.3,1.9
209,7.3,1.9
209,7.3,1.9
209,7.3,1.9
209,7.3,1.9
209,7.3,1.9
209,7.3,1.9
209,7.3,1.9
209,7.3,1.9
209,7.3,1.9
209,7.3,1.9
209,7.3,1.9
209,7.3,1.9
209,7.3,1.9
210,6.9,2.5
210,6.9,2.5
210,6.9,2.5
210,6.9,2.5
210,6.9,2.5
210,6.9,2.5
210,6.9,2.5
210,6.9,2.5
210,6.9,2.5
210,6.9,2.5
210,6.9,2.5
210,6.9,2.5
210,6.9,2.5
210,6.9,2.5
210,6.9,2.5
210,6.9,2.5
210,6.9,2.5
210,6.9,2.5
201,6.7,2.8
201,6.7,2.8
201,6.7,2.8
201,6.7,2.8
201,6.7,2.8
201,6.7,2.8
201,6.7,2.8
201,6.7,2.8
201,6.7,2.8
201,6.7,2.8
201,6.7,2.8
201,6.7,2.8
201,6.7,2.8
201,6.7,2.8
201,6.7,2.8
201,6.7,2.8
201,6.7,2.8
201,6.7,2.8
202,6.8,2.5
202,6.8,2.5
202,6.8,2.5
202,6.8,2.5
202,6.8,2.5
202,6.8,2.5
202,6.8,2.5
202,6.8,2.5
202,6.8,2.5
202,6.8,2.5
202,6.8,2.5
202,6.8,2.5
202,6.8,2.5
202,6.8,2.5
202,6.8,2.5
202,6.8,2.5
202,6.8,2.5
202,6.8,2.5
203,6.8,2.7
203,6.8,2.7
203,6.8,2.7
203,6.8,2.7
203,6.8,2.7
203,6.8,2.7
203,6.8,2.7
203,6.8,2.7
203,6.8,2.7
203,6.8,2.7
203,6.8,2.7
203,6.8,2.7
203,6.8,2.7
203,6.8,2.7
203,6.8,2.7
203,6.8,2.7
203,6.8,2.7
203,6.8,2.7
204,7,2.4
204,7,2.4
204,7,2.4
204,7,2.4
204,7,2.4
204,7,2.4
204,7,2.4
204,7,2.4
204,7,2.4
204,7,2.4
204,7,2.4
204,7,2.4
204,7,2.4
204,7,2.4
204,7,2.4
204,7,2.4
204,7,2.4
204,7,2.4
205,6.9,2.5
205,6.9,2.5
205,6.9,2.5
205,6.9,2.5
205,6.9,2.5
205,6.9,2.5
205,6.9,2.5
205,6.9,2.5
205,6.9,2.5
205,6.9,2.5
205,6.9,2.5
205,6.9,2.5
205,6.9,2.5
205,6.9,2.5
205,6.9,2.5
205,6.9,2.5
205,6.9,2.5
205,6.9,2.5
206,7.1,2.3
206,7.1,2.3
206,7.1,2.3
206,7.1,2.3
206,7.1,2.3
206,7.1,2.3
206,7.1,2.3
206,7.1,2.3
206,7.1,2.3
206,7.1,2.3
206,7.1,2.3
206,7.1,2.3
206,7.1,2.3
206,7.1,2.3
206,7.1,2.3
206,7.1,2.3
206,7.1,2.3
206,7.1,2.3
207,7,2.4
207,7,2.4
207,7,2.4
207,7,2.4
207,7,2.4
207,7,2.4
207,7,2.4
207,7,2.4
207,7,2.4
207,7,2.4
207,7,2.4
207,7,2.4
207,7,2.4
207,7,2.4
207,7,2.4
207,7,2.4
207,7,2.4
207,7,2.4
208,7,2.4
208,7,2.4
208,7,2.4
208,7,2.4
208,7,2.4
208,7,2.4
208,7,2.4
208,7,2.4
208,7,2.4
208,7,2.4
208,7,2.4
208,7,2.4
208,7,2.4
208,7,2.4
208,7,2.4
208,7,2.4
208,7,2.4
208,7,2.4
209,7.2,1.8
209,7.2,1.8
209,7.2,1.8
209,7.2,1.8
209,7.2,1.8
209,7.2,1.8
209,7.2,1.8
209,7.2,1.8
209,7.2,1.8
209,7.2,1.8
209,7.2,1.8
209,7.2,1.8
209,7.2,1.8
209,7.2,1.8
209,7.2,1.8
209,7.2,1.8
209,7.2,1.8
209,7.2,1.8
210,6.9,2.4
210,6.9,2.4
210,6.9,2.4
210,6.9,2.4
210,6.9,2.4
210,6.9,2.4
210,6.9,2.4
210,6.9,2.4
210,6.9,2.4
210,6.9,2.4
210,6.9,2.4
210,6.9,2.4
210,6.9,2.4
210,6.9,2.4
210,6.9,2.4
210,6.9,2.4
210,6.9,2.4
210,6.9,2.4
201,6.6,2.9
201,6.6,2.9
201,6.6,2.9
201,6.6,2.9
201,6.6,2.9
201,6.6,2.9
201,6.6,2.9
201,6.6,2.9
201,6.6,2.9
201,6.6,2.9
201,6.6,2.9
201,6.6,2.9
201,6.6,2.9
201,6.6,2.9
201,6.6,2.9
201,6.6,2.9
201,6.6,2.9
201,6.6,2.9
202,6.8,2.6
202,6.8,2.6
202,6.8,2.6
202,6.8,2.6
202,6.8,2.6
202,6.8,2.6
202,6.8,2.6
202,6.8,2.6
202,6.8,2.6
202,6.8,2.6
202,6.8,2.6
202,6.8,2.6
202,6.8,2.6
202,6.8,2.6
202,6.8,2.6
202,6.8,2.6
202,6.8,2.6
202,6.8,2.6
203,6.7,2.8
203,6.7,2.8
203,6.7,2.8
203,6.7,2.8
203,6.7,2.8
203,6.7,2.8
203,6.7,2.8
203,6.7,2.8
203,6.7,2.8
203,6.7,2.8
203,6.7,2.8
203,6.7,2.8
203,6.7,2.8
203,6.7,2.8
203,6.7,2.8
203,6.7,2.8
203,6.7,2.8
203,6.7,2.8
204,6.9,2.4
204,6.9,2.4
204,6.9,2.4
204,6.9,2.4
204,6.9,2.4
204,6.9,2.4
204,6.9,2.4
204,6.9,2.4
204,6.9,2.4
204,6.9,2.4
204,6.9,2.4
204,6.9,2.4
204,6.9,2.4
204,6.9,2.4
204,6.9,2.4
204,6.9,2.4
204,6.9,2.4
204,6.9,2.4
205,6.9,2.5
205,6.9,2.5
205,6.9,2.5
205,6.9,2.5
205,6.9,2.5
205,6.9,2.5
205,6.9,2.5
205,6.9,2.5
205,6.9,2.5
205,6.9,2.5
205,6.9,2.5
205,6.9,2.5
205,6.9,2.5
205,6.9,2.5
205,6.9,2.5
205,6.9,2.5
205,6.9,2.5
205,6.9,2.5
206,7.1,2.3
206,7.1,2.3
206,7.1,2.3
206,7.1,2.3
206,7.1,2.3
206,7.1,2.3
206,7.1,2.3
206,7.1,2.3
206,7.1,2.3
206,7.1,2.3
206,7.1,2.3
206,7.1,2.3
206,7.1,2.3
206,7.1,2.3
206,7.1,2.3
206,7.1,2.3
206,7.1,2.3
206,7.1,2.3
207,7,2.3
207,7,2.3
207,7,2.3
207,7,2.3
207,7,2.3
207,7,2.3
207,7,2.3
207,7,2.3
207,7,2.3
207,7,2.3
207,7,2.3
207,7,2.3
207,7,2.3
207,7,2.3
207,7,2.3
207,7,2.3
207,7,2.3
207,7,2.3
208,7,2.4
208,7,2.4
208,7,2.4
208,7,2.4
208,7,2.4
208,7,2.4
208,7,2.4
208,7,2.4
208,7,2.4
208,7,2.4
208,7,2.4
208,7,2.4
208,7,2.4
208,7,2.4
208,7,2.4
208,7,2.4
208,7,2.4
208,7,2.4
209,7.3,1.9
209,7.3,1.9
209,7.3,1.9
209,7.3,1.9
209,7.3,1.9
209,7.3,1.9
209,7.3,1.9
209,7.3,1.9
209,7.3,1.9
209,7.3,1.9
209,7.3,1.9
209,7.3,1.9
209,7.3,1.9
209,7.3,1.9
209,7.3,1.9
209,7.3,1.9
209,7.3,1.9
209,7.3,1.9
210,6.9,2.5
210,6.9,2.5
210,6.9,2.5
210,6.9,2.5
210,6.9,2.5
210,6.9,2.5
210,6.9,2.5
210,6.9,2.5
210,6.9,2.5
210,6.9,2.5
210,6.9,2.5
210,6.9,2.5
210,6.9,2.5
210,6.9,2.5
210,6.9,2.5
210,6.9,2.5
210,6.9,2.5
210,6.9,2.5
201,6.6,2.9
201,6.6,2.9
201,6.6,2.9
201,6.6,2.9
201,6.6,2.9
201,6.6,2.9
201,6.6,2.9
201,6.6,2.9
201,6.6,2.9
201,6.6,2.9
201,6.6,2.9
201,6.6,2.9
201,6.6,2.9
201,6.6,2.9
201,6.6,2.9
201,6.6,2.9
201,6.6,2.9
201,6.6,2.9
202,6.9,2.5
202,6.9,2.5
202,6.9,2.5
202,6.9,2.5
202,6.9,2.5
202,6.9,2.5
202,6.9,2.5
202,6.9,2.5
202,6.9,2.5
202,6.9,2.5
202,6.9,2.5
202,6.9,2.5
202,6.9,2.5
202,6.9,2.5
202,6.9,2.5
202,6.9,2.5
202,6.9,2.5
202,6.9,2.5
203,6.8,2.7
203,6.8,2.7
203,6.8,2.7
203,6.8,2.7
203,6.8,2.7
203,6.8,2.7
203,6.8,2.7
203,6.8,2.7
203,6.8,2.7
203,6.8,2.7
203,6.8,2.7
203,6.8,2.7
203,6.8,2.7
203,6.8,2.7
203,6.8,2.7
203,6.8,2.7
203,6.8,2.7
203,6.8,2.7
204,6.9,2.4
204,6.9,2.4
204,6.9,2.4
204,6.9,2.4
204,6.9,2.4
204,6.9,2.4
204,6.9,2.4
204,6.9,2.4
204,6.9,2.4
204,6.9,2.4
204,6.9,2.4
204,6.9,2.4
204,6.9,2.4
204,6.9,2.4
204,6.9,2.4
204,6.9,2.4
204,6.9,2.4
204,6.9,2.4
205,6.8,2.5
205,6.8,2.5
205,6.8,2.5
205,6.8,2.5
205,6.8,2.5
205,6.8,2.5
205,6.8,2.5
205,6.8,2.5
205,6.8,2.5
205,6.8,2.5
205,6.8,2.5
205,6.8,2.5
205,6.8,2.5
205,6.8,2.5
205,6.8,2.5
205,6.8,2.5
205,6.8,2.5
205,6.8,2.5
206,7.1,2.2
206,7.1,2.2
206,7.1,2.2
206,7.1,2.2
206,7.1,2.2
206,7.1,2.2
206,7.1,2.2
206,7.1,2.2
206,7.1,2.2
206,7.1,2.2
206,7.1,2.2
206,7.1,2.2
206,7.1,2.2
206,7.1,2.2
206,7.1,2.2
206,7.1,2.2
206,7.1,2.2
206,7.1,2.2
207,7,2.4
207,7,2.4
207,7,2.4
207,7,2.4
207,7,2.4
207,7,2.4
207,7,2.4
207,7,2.4
207,7,2.4
207,7,2.4
207,7,2.4
207,7,2.4
207,7,2.4
207,7,2.4
207,7,2.4
207,7,2.4
207,7,2.4
207,7,2.4
208,6.9,2.4
208,6.9,2.4
208,6.9,2.4
208,6.9,2.4
208,6.9,2.4
208,6.9,2.4
208,6.9,2.4
208,6.9,2.4
208,6.9,2.4
208,6.9,2.4
208,6.9,2.4
208,6.9,2.4
208,6.9,2.4
208,6.9,2.4
208,6.9,2.4
208,6.9,2.4
208,6.9,2.4
208,6.9,2.4
209,7.3,1.9
209,7.3,1.9
209,7.3,1.9
209,7.3,1.9
209,7.3,1.9
209,7.3,1.9
209,7.3,1.9
209,7.3,1.9
209,7.3,1.9
209,7.3,1.9
209,7.3,1.9
209,7.3,1.9
209,7.3,1.9
209,7.3,1.9
209,7.3,1.9
209,7.3,1.9
209,7.3,1.9
209,7.3,1.9
210,6.9,2.5
210,6.9,2.5
210,6.9,2.5
210,6.9,2.5
210,6.9,2.5
210,6.9,2.5
210,6.9,2.5
210,6.9,2.5
210,6.9,2.5
210,6.9,2.5
210,6.9,2.5
210,6.9,2.5
210,6.9,2.5
210,6.9,2.5
210,6.9,2.5
210,6.9,2.5
210,6.9,2.5
210,6.9,2.5
201,6.5,2.9
201,6.5,2.9
201,6.5,2.9
201,6.5,2.9
201,6.5,2.9
201,6.5,2.9
201,6.5,2.9
201,6.5,2.9
201,6.5,2.9
201,6.5,2.9
201,6.5,2.9
201,6.5,2.9
201,6.5,2.9
201,6.5,2.9
201,6.5,2.9
201,6.5,2.9
201,6.5,2.9
201,6.5,2.9
202,6.8,2.6
202,6.8,2.6
202,6.8,2.6
202,6.8,2.6
202,6.8,2.6
202,6.8,2.6
202,6.8,2.6
202,6.8,2.6
202,6.8,2.6
202,6.8,2.6
202,6.8,2.6
202,6.8,2.6
202,6.8,2.6
202,6.8,2.6
202,6.8,2.6
202,6.8,2.6
202,6.8,2.6
202,6.8,2.6
203,6.7,2
203,6.7,2
203,6.7,2
203,6.7,2
203,6.7,2
203,6.7,2
203,6.7,2
203,6.7,2
203,6.7,2
203,6.7,2
203,6.7,2
203,6.7,2
203,6.7,2
203,6.7,2
203,6.7,2
203,6.7,2
203,6.7,2
203,6.7,2
204,6.9,2.4
204,6.9,2.4
204,6.9,2.4
204,6.9,2.4
204,6.9,2.4
204,6.9,2.4
204,6.9,2.4
204,6.9,2.4
204,6.9,2.4
204,6.9,2.4
204,6.9,2.4
204,6.9,2.4
204,6.9,2.4
204,6.9,2.4
204,6.9,2.4
204,6.9,2.4
204,6.9,2.4
204,6.9,2.4
205,6.8,2.6
205,6.8,2.6
205,6.8,2.6
205,6.8,2.6
205,6.8,2.6
205,6.8,2.6
205,6.8,2.6
205,6.8,2.6
205,6.8,2.6
205,6.8,2.6
205,6.8,2.6
205,6.8,2.6
205,6.8,2.6
205,6.8,2.6
205,6.8,2.6
205,6.8,2.6
205,6.8,2.6
205,6.8,2.6
206,7,2.2
206,7,2.2
206,7,2.2
206,7,2.2
206,7,2.2
206,7,2.2
206,7,2.2
206,7,2.2
206,7,2.2
206,7,2.2
206,7,2.2
206,7,2.2
206,7,2.2
206,7,2.2
206,7,2.2
206,7,2.2
206,7,2.2
206,7,2.2
207,7,2.4
207,7,2.4
207,7,2.4
207,7,2.4
207,7,2.4
207,7,2.4
207,7,2.4
207,7,2.4
207,7,2.4
207,7,2.4
207,7,2.4
207,7,2.4
207,7,2.4
207,7,2.4
207,7,2.4
207,7,2.4
207,7,2.4
207,7,2.4
208,6.9,2.4
208,6.9,2.4
208,6.9,2.4
208,6.9,2.4
208,6.9,2.4
208,6.9,2.4
208,6.9,2.4
208,6.9,2.4
208,6.9,2.4
208,6.9,2.4
208,6.9,2.4
208,6.9,2.4
208,6.9,2.4
208,6.9,2.4
208,6.9,2.4
208,6.9,2.4
208,6.9,2.4
208,6.9,2.4
209,7.1,1.9
209,7.1,1.9
209,7.1,1.9
209,7.1,1.9
209,7.1,1.9
209,7.1,1.9
209,7.1,1.9
209,7.1,1.9
209,7.1,1.9
209,7.1,1.9
209,7.1,1.9
209,7.1,1.9
209,7.1,1.9
209,7.1,1.9
209,7.1,1.9
209,7.1,1.9
209,7.1,1.9
209,7.1,1.9
210,6.9,2.5
210,6.9,2.5
210,6.9,2.5
210,6.9,2.5
210,6.9,2.5
210,6.9,2.5
210,6.9,2.5
210,6.9,2.5
210,6.9,2.5
210,6.9,2.5
210,6.9,2.5
210,6.9,2.5
210,6.9,2.5
210,6.9,2.5
210,6.9,2.5
210,6.9,2.5
210,6.9,2.5
210,6.9,2.5
201,5.6,3
201,5.6,3
201,5.6,3
201,5.6,3
201,5.6,3
201,5.6,3
201,5.6,3
201,5.6,3
201,5.6,3
201,5.6,3
201,5.6,3
201,5.6,3
201,5.6,3
201,5.6,3
201,5.6,3
201,5.6,3
201,5.6,3
201,5.6,3
202,5.6,2.6
202,5.6,2.6
202,5.6,2.6
202,5.6,2.6
202,5.6,2.6
202,5.6,2.6
202,5.6,2.6
202,5.6,2.6
202,5.6,2.6
202,5.6,2.6
202,5.6,2.6
202,5.6,2.6
202,5.6,2.6
202,5.6,2.6
202,5.6,2.6
202,5.6,2.6
202,5.6,2.6
202,5.6,2.6
203,5.6,2.7
203,5.6,2.7
203,5.6,2.7
203,5.6,2.7
203,5.6,2.7
203,5.6,2.7
203,5.6,2.7
203,5.6,2.7
203,5.6,2.7
203,5.6,2.7
203,5.6,2.7
203,5.6,2.7
203,5.6,2.7
203,5.6,2.7
203,5.6,2.7
203,5.6,2.7
203,5.6,2.7
203,5.6,2.7
204,5.7,2.4
204,5.7,2.4
204,5.7,2.4
204,5.7,2.4
204,5.7,2.4
204,5.7,2.4
204,5.7,2.4
204,5.7,2.4
204,5.7,2.4
204,5.7,2.4
204,5.7,2.4
204,5.7,2.4
204,5.7,2.4
204,5.7,2.4
204,5.7,2.4
204,5.7,2.4
204,5.7,2.4
204,5.7,2.4
205,5.6,2.6
205,5.6,2.6
205,5.6,2.6
205,5.6,2.6
205,5.6,2.6
205,5.6,2.6
205,5.6,2.6
205,5.6,2.6
205,5.6,2.6
205,5.6,2.6
205,5.6,2.6
205,5.6,2.6
205,5.6,2.6
205,5.6,2.6
205,5.6,2.6
205,5.6,2.6
205,5.6,2.6
205,5.6,2.6
206,5.8,2.2
206,5.8,2.2
206,5.8,2.2
206,5.8,2.2
206,5.8,2.2
206,5.8,2.2
206,5.8,2.2
206,5.8,2.2
206,5.8,2.2
206,5.8,2.2
206,5.8,2.2
206,5.8,2.2
206,5.8,2.2
206,5.8,2.2
206,5.8,2.2
206,5.8,2.2
206,5.8,2.2
206,5.8,2.2
207,5.7,2.4
207,5.7,2.4
207,5.7,2.4
207,5.7,2.4
207,5.7,2.4
207,5.7,2.4
207,5.7,2.4
207,5.7,2.4
207,5.7,2.4
207,5.7,2.4
207,5.7,2.4
207,5.7,2.4
207,5.7,2.4
207,5.7,2.4
207,5.7,2.4
207,5.7,2.4
207,5.7,2.4
207,5.7,2.4
208,5.7,2.4
208,5.7,2.4
208,5.7,2.4
208,5.7,2.4
208,5.7,2.4
208,5.7,2.4
208,5.7,2.4
208,5.7,2.4
208,5.7,2.4
208,5.7,2.4
208,5.7,2.4
208,5.7,2.4
208,5.7,2.4
208,5.7,2.4
208,5.7,2.4
208,5.7,2.4
208,5.7,2.4
208,5.7,2.4
209,5.8,1.9
209,5.8,1.9
209,5.8,1.9
209,5.8,1.9
209,5.8,1.9
209,5.8,1.9
209,5.8,1.9
209,5.8,1.9
209,5.8,1.9
209,5.8,1.9
209,5.8,1.9
209,5.8,1.9
209,5.8,1.9
209,5.8,1.9
209,5.8,1.9
209,5.8,1.9
209,5.8,1.9
209,5.8,1.9
210,5.8,2.5
210,5.8,2.5
210,5.8,2.5
210,5.8,2.5
210,5.8,2.5
210,5.8,2.5
210,5.8,2.5
210,5.8,2.5
210,5.8,2.5
210,5.8,2.5
210,5.8,2.5
210,5.8,2.5
210,5.8,2.5
210,5.8,2.5
210,5.8,2.5
210,5.8,2.5
210,5.8,2.5
210,5.8,2.5
201,5.9,3
201,5.9,3
201,5.9,3
201,5.9,3
201,5.9,3
201,5.9,3
201,5.9,3
201,5.9,3
201,5.9,3
201,5.9,3
201,5.9,3
201,5.9,3
201,5.9,3
201,5.9,3
201,5.9,3
201,5.9,3
201,5.9,3
201,5.9,3
202,5.9,2.6
202,5.9,2.6
202,5.9,2.6
202,5.9,2.6
202,5.9,2.6
202,5.9,2.6
202,5.9,2.6
202,5.9,2.6
202,5.9,2.6
202,5.9,2.6
202,5.9,2.6
202,5.9,2.6
202,5.9,2.6
202,5.9,2.6
202,5.9,2.6
202,5.9,2.6
202,5.9,2.6
202,5.9,2.6
203,5.9,2.8
203,5.9,2.8
203,5.9,2.8
203,5.9,2.8
203,5.9,2.8
203,5.9,2.8
203,5.9,2.8
203,5.9,2.8
203,5.9,2.8
203,5.9,2.8
203,5.9,2.8
203,5.9,2.8
203,5.9,2.8
203,5.9,2.8
203,5.9,2.8
203,5.9,2.8
203,5.9,2.8
203,5.9,2.8
204,6.1,2.4
204,6.1,2.4
204,6.1,2.4
204,6.1,2.4
204,6.1,2.4
204,6.1,2.4
204,6.1,2.4
204,6.1,2.4
204,6.1,2.4
204,6.1,2.4
204,6.1,2.4
204,6.1,2.4
204,6.1,2.4
204,6.1,2.4
204,6.1,2.4
204,6.1,2.4
204,6.1,2.4
204,6.1,2.4
205,6,2.6
205,6,2.6
205,6,2.6
205,6,2.6
205,6,2.6
205,6,2.6
205,6,2.6
205,6,2.6
205,6,2.6
205,6,2.6
205,6,2.6
205,6,2.6
205,6,2.6
205,6,2.6
205,6,2.6
205,6,2.6
205,6,2.6
205,6,2.6
206,6.2,2.2
206,6.2,2.2
206,6.2,2.2
206,6.2,2.2
206,6.2,2.2
206,6.2,2.2
206,6.2,2.2
206,6.2,2.2
206,6.2,2.2
206,6.2,2.2
206,6.2,2.2
206,6.2,2.2
206,6.2,2.2
206,6.2,2.2
206,6.2,2.2
206,6.2,2.2
206,6.2,2.2
206,6.2,2.2
207,6.1,2.4
207,6.1,2.4
207,6.1,2.4
207,6.1,2.4
207,6.1,2.4
207,6.1,2.4
207,6.1,2.4
207,6.1,2.4
